"subject" "activity" "mean_activity" "sd_activity"
1 "WALKING" -0.319105810200331 0.00612829384234482
1 "WALKING_UPSTAIRS" -0.40699661814598 0.00829714621800431
1 "WALKING_DOWNSTAIRS" -0.297226292824001 0.00817534829268225
1 "SITTING" -0.633405230612481 0.00933986448249496
1 "STANDING" -0.647424789141436 0.0133955343918803
1 "LAYING" -0.607522391836014 0.0155899894498612
2 "WALKING" -0.385708093716054 0.00575255233050586
2 "WALKING_UPSTAIRS" -0.363983305102955 0.0091502829001162
2 "WALKING_DOWNSTAIRS" -0.259677293061387 0.00775020121835924
2 "SITTING" -0.640597914078914 0.0120932839169017
2 "STANDING" -0.636454993012462 0.00920118668316318
2 "LAYING" -0.639973837827844 0.0111125081317197
3 "WALKING" -0.386865862874514 0.00884159803761072
3 "WALKING_UPSTAIRS" -0.424274671811149 0.00671156910336991
3 "WALKING_DOWNSTAIRS" -0.350536138554404 0.00882781441043443
3 "SITTING" -0.622780836987975 0.0133072709079972
3 "STANDING" -0.626824657789309 0.0140619904040086
3 "LAYING" -0.641445804875381 0.0139650989905351
4 "WALKING" -0.43055661483918 0.00507605619593368
4 "WALKING_UPSTAIRS" -0.415260374462441 0.00690563168988367
4 "WALKING_DOWNSTAIRS" -0.363790441016887 0.0108256100379244
4 "SITTING" -0.627074988752137 0.0121751930924355
4 "STANDING" -0.618583772157932 0.0101449755335569
4 "LAYING" -0.630875080725603 0.00766757458549943
5 "WALKING" -0.378535121986988 0.00807472739812987
5 "WALKING_UPSTAIRS" -0.356353464901252 0.00834804162755231
5 "WALKING_DOWNSTAIRS" -0.296901580091929 0.00821487884978698
5 "SITTING" -0.627014833570021 0.0127325777938865
5 "STANDING" -0.618821537531601 0.00846522227606688
5 "LAYING" -0.631793505517319 0.00897037655348822
6 "WALKING" -0.337513362522582 0.00930581964476843
6 "WALKING_UPSTAIRS" -0.330642340129316 0.0107000410206455
6 "WALKING_DOWNSTAIRS" -0.198922424840441 0.0163304347200308
6 "SITTING" -0.625412957710496 0.0121725602412984
6 "STANDING" -0.629253160586122 0.00965458472880008
6 "LAYING" -0.619421431071453 0.0103754796050496
7 "WALKING" -0.306764482858546 0.0106910587982802
7 "WALKING_UPSTAIRS" -0.427408293255387 0.00660173643582435
7 "WALKING_DOWNSTAIRS" -0.317129508211319 0.00952049767496349
7 "SITTING" -0.628833138374792 0.0142222414110759
7 "STANDING" -0.63369010626409 0.0139274411567872
7 "LAYING" -0.628303269447471 0.0144202336233273
8 "WALKING" -0.299755499867352 0.00690312225691774
8 "WALKING_UPSTAIRS" -0.293377815632218 0.0100144446334003
8 "WALKING_DOWNSTAIRS" -0.19351985419359 0.0143351488893343
